Country_Name,Country_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bulgaria,BGR,0.004208936,0.004193975,0.004060457,0.003878512,0.002962765,0.002845879,0.002702032,0.003316102,0.003173858,0.003596736,0.003435557,0.003096437,0.003228129,0.003235911,0.003168367,0.003054688,0.002971222,0.003022554,0.003179149
Burkina Faso,BFA,7.49638E-05,0.000102376,0.000108433,0.000112655,9.92549E-05,8.86268E-05,0.000132071,0.000139946,0.00014854,0.000163453,0.000155689,0.00018213,0.000239114,0.000202771,0.000224236,0.000265244,0.000249404,0.000227119,0.000236837
Burundi,BDI,-2.40849E-06,3.52569E-06,-2.55721E-06,4.38255E-06,4.92137E-06,1.52685E-06,5.35718E-06,3.05249E-06,-8.71141E-07,2.24137E-06,1.26605E-05,9.64909E-06,9.98788E-06,1.46175E-05,1.41447E-05,1.40049E-05,1.3644E-05,1.20014E-05,1.83186E-05
Cabo Verde,CPV,-4.70522E-06,-1.23524E-06,-3.74729E-06,1.30118E-06,1.31255E-07,-2.93264E-06,3.4247E-06,7.43289E-07,-9.59979E-07,4.38235E-06,1.62863E-06,1.60585E-06,2.47613E-06,6.36504E-06,8.17733E-06,1.06443E-05,8.49997E-06,1.42932E-05,7.09169E-06
Cambodia,KHM,1.4817E-05,1.933E-05,3.23777E-05,3.51811E-05,4.80607E-05,4.27674E-05,5.60945E-05,7.87193E-05,0.000106693,0.000108079,9.21196E-05,0.000125768,0.000135268,0.000164178,0.000162908,0.000179516,0.00019825,0.000169001,0.000263657
Cameroon,CMR,0.000192682,0.000245057,0.000294539,0.000313339,0.000298899,0.00036103,0.000410698,0.000428151,0.000414671,0.000448028,0.000455352,0.000504178,0.00050956,0.000607072,0.000695597,0.000740803,0.000796128,0.000843568,0.000827102
Canada,CAN,0.125831656,0.117193538,0.118876038,0.114715424,0.112094135,0.112404979,0.112443511,0.111169902,0.112657892,0.108669454,0.103846256,0.100446814,0.099687605,0.097923206,0.098083309,0.098634068,0.094046271,0.08913627,0.08302455
Central African Republic,CAF,4.94103E-06,8.90831E-06,1.81161E-06,1.34749E-05,1.25234E-05,7.71553E-06,1.54476E-05,8.18123E-06,8.77404E-06,1.19071E-05,1.48375E-05,1.63007E-05,9.9061E-06,1.20684E-05,1.88423E-05,1.42491E-05,2.97956E-05,1.80951E-05,1.77034E-05
Chad,TCD,-1.28171E-07,3.41116E-06,3.47146E-06,5.09597E-06,1.4332E-05,8.59963E-06,1.22052E-05,3.10353E-06,4.20527E-06,9.65341E-06,2.38691E-06,7.597E-06,4.39203E-06,3.87417E-06,6.64222E-06,1.2749E-05,1.17619E-05,1.53387E-05,1.29519E-05
Chile,CHL,0.008196751,0.007033473,0.007077899,0.006781199,0.007132798,0.007125547,0.007824405,0.008425517,0.008943494,0.006756167,0.006058448,0.007877948,0.008404967,0.008389515,0.0090996,0.009484058,0.009682566,0.009227437,0.008970213
China,CHN,0.154189857,0.190933623,0.210433788,0.250614663,0.311182115,0.387627453,0.442438117,0.496489224,0.569394422,0.644951912,0.731023222,0.743441982,0.74152825,0.774069463,0.808739939,0.835346627,0.857593886,0.858515865,0.868721659
Colombia,COL,0.004151248,0.001646372,0.002526748,0.002976933,0.003277715,0.003604216,0.004197189,0.004285752,0.005126784,0.005185076,0.005736793,0.006014461,0.006601584,0.006997643,0.007666062,0.007967166,0.008624395,0.008593021,0.008331354
Comoros,COM,-3.50764E-06,-2.00418E-06,-3.70031E-06,-1.82573E-06,-5.18731E-07,-2.93352E-07,-4.27292E-07,1.91703E-06,-3.15553E-06,-9.76359E-07,-8.36317E-08,3.08005E-06,-1.05194E-06,1.36281E-05,-4.56252E-07,1.27197E-06,3.51507E-06,2.12679E-06,1.43304E-06
"Congo, Dem. Rep.",COD,1.62278E-05,1.21968E-05,1.24597E-05,2.08064E-05,1.72429E-05,2.65546E-05,3.00774E-05,3.86857E-05,4.59968E-05,5.38502E-05,6.11785E-05,5.20825E-05,8.09932E-05,9.14271E-05,0.000136157,0.000142718,0.000122542,0.000141638,0.000139092
"Congo, Rep.",COG,2.33477E-05,2.44018E-05,3.34582E-05,4.86602E-05,5.30769E-05,5.52488E-05,5.76379E-05,5.73762E-05,5.95001E-05,5.12084E-05,5.60662E-05,5.90761E-05,6.48248E-05,6.54824E-05,8.56603E-05,7.90182E-05,8.83906E-05,7.65717E-05,6.14411E-05
Costa Rica,CRI,0.000197111,0.000272101,0.000252166,0.000229019,0.00030636,0.000282475,0.000283647,0.000287187,0.000311354,0.000313735,0.000933785,0.000935788,0.000912884,0.000839976,0.000892411,0.000908219,0.000843169,0.000928963,0.00087322
